O_ORDERKEY,O_CUSTKEY,O_ORDERSTATUS,O_TOTALPRICE,O_ORDERDATE,O_ORDER-PRIORITY,O_CLERK,O_SHIP-PRIORITY,O_COMMENT,Cust_name,Mrkt_segment
20966,643,F,184100.55,9/19/1993,5-LOW,Clerk#000000368,0,blithely unusual requests haggle after the quick,Customer#000000643,FURNITURE
20967,301,P,219976.43,3/16/1995,2-HIGH,Clerk#000000138,0,carefully pending dependencies above the carefully even depos,Customer#000000301,HOUSEHOLD
20992,836,F,90694.79,8/5/1992,2-HIGH,Clerk#000000053,0,"ironic, sly ideas sleep.",Customer#000000836,FURNITURE
20993,1462,O,46520.13,1/24/1996,2-HIGH,Clerk#000000812,0,slyly bold forges above the q,Customer#000001462,FURNITURE
20994,907,O,181612.37,4/12/1996,1-URGENT,Clerk#000000240,0,slyly regular foxes,Customer#000000907,HOUSEHOLD
20995,139,F,112188.95,3/28/1992,3-MEDIUM,Clerk#000000778,0,regular instructions cajole slyly express excuses. quickly even dinos along,Customer#000000139,MACHINERY
20996,583,O,49889.63,8/16/1996,2-HIGH,Clerk#000000925,0,final warhorses after the slyly,Customer#000000583,HOUSEHOLD
20997,889,O,144644.32,3/5/1998,1-URGENT,Clerk#000000266,0,furiously bold accounts integrate doggedly quick,Customer#000000889,FURNITURE
20998,766,O,299553.01,1/31/1997,5-LOW,Clerk#000000784,0,furiously regular pinto beans about the unusual deposits cajole speci,Customer#000000766,BUILDING
20999,1309,O,110155.48,4/23/1997,5-LOW,Clerk#000000859,0,ideas cajole always unusual theodolites. ev,Customer#000001309,AUTOMOBILE
21024,706,F,72188.69,12/29/1993,3-MEDIUM,Clerk#000000549,0,carefully regular pinto beans across the accounts are carefully around th,Customer#000000706,AUTOMOBILE
21025,136,F,81361.53,9/12/1993,4-NOT SPECIFIED,Clerk#000000260,0,"quickly even deposits after the bold, ironic pinto beans lose fur",Customer#000000136,FURNITURE
21026,865,O,142850.15,8/8/1996,1-URGENT,Clerk#000000593,0,accounts boost about the fluffily idle theodolites,Customer#000000865,BUILDING
21027,943,F,231325.82,1/6/1993,2-HIGH,Clerk#000000864,0,blithely regular courts maintain quickly about the doggedly ironic,Customer#000000943,FURNITURE
21028,106,F,84341.71,6/8/1992,1-URGENT,Clerk#000000490,0,furiously regular accounts after the express requ,Customer#000000106,MACHINERY
21029,499,O,53152.97,4/19/1996,3-MEDIUM,Clerk#000000577,0,special packages use above the ruthless deposits; p,Customer#000000499,HOUSEHOLD
21030,307,F,152151.5,4/23/1992,1-URGENT,Clerk#000000779,0,furiously ironic packages play,Customer#000000307,FURNITURE
21031,343,O,43702.29,8/13/1995,3-MEDIUM,Clerk#000000342,0,furiously express deposits nag blithely alo,Customer#000000343,HOUSEHOLD
21056,347,F,79773.41,11/19/1992,4-NOT SPECIFIED,Clerk#000000457,0,blithely even foxes about the quickly final,Customer#000000347,BUILDING
21057,1129,F,142469.55,2/4/1995,5-LOW,Clerk#000000326,0,dolphins around the packages use care,Customer#000001129,HOUSEHOLD
21058,881,F,58836.85,10/11/1992,4-NOT SPECIFIED,Clerk#000000860,0,slyly stealthy packages are pending deposits,Customer#000000881,FURNITURE
21059,536,F,42202.52,11/4/1992,1-URGENT,Clerk#000000134,0,"even, ironic foxes are furiously blithely",Customer#000000536,MACHINERY
21060,566,O,126118.18,5/18/1998,4-NOT SPECIFIED,Clerk#000000257,0,"furiously ironic accounts after the unusual, even pinto beans a",Customer#000000566,FURNITURE
21061,113,F,53757.07,12/22/1994,2-HIGH,Clerk#000000018,0,"deposits are ironic, ironic accounts. requests after the ironic bra",Customer#000000113,BUILDING
21062,881,O,253234.8,10/16/1997,4-NOT SPECIFIED,Clerk#000000580,0,carefully regular foxes cajole. foxes affix qu,Customer#000000881,FURNITURE
21063,445,P,100706.45,4/16/1995,5-LOW,Clerk#000000652,0,final accounts sleep. pinto beans,Customer#000000445,FURNITURE
21088,463,O,75961.96,2/18/1997,2-HIGH,Clerk#000000643,0,ironic pinto beans haggle boldly regular fr,Customer#000000463,HOUSEHOLD
21089,49,O,243844.7,7/29/1995,3-MEDIUM,Clerk#000000347,0,quickly silent reques,Customer#000000049,FURNITURE
21090,91,F,158319.52,5/16/1992,4-NOT SPECIFIED,Clerk#000000312,0,bold deposits cajole furiousl,Customer#000000091,AUTOMOBILE
21091,1096,F,115363.89,12/13/1994,2-HIGH,Clerk#000000556,0,"final, ironic accounts sleep. requests will",Customer#000001096,FURNITURE
21092,745,O,163511.42,1/18/1997,5-LOW,Clerk#000000938,0,quickly silent foxes sleep express requests. carefully final,Customer#000000745,FURNITURE
21093,643,F,79875.9,3/1/1994,3-MEDIUM,Clerk#000000942,0,ironically ironic deposits sleep furiously even deposits-- regul,Customer#000000643,FURNITURE
21094,1282,F,77868.19,7/17/1994,2-HIGH,Clerk#000000077,0,thinly final requests use furiously across the,Customer#000001282,FURNITURE
21095,772,F,229644.31,2/18/1994,1-URGENT,Clerk#000000678,0,final dolphins sleep? furiously pending theodolites about the silently expr,Customer#000000772,MACHINERY
21120,1469,F,121789.85,3/12/1993,1-URGENT,Clerk#000000202,0,carefully ironic ideas haggle slyly. special instruct,Customer#000001469,FURNITURE
21121,649,F,7076.04,9/17/1994,4-NOT SPECIFIED,Clerk#000000604,0,special asymptotes according to the s,Customer#000000649,BUILDING
21122,676,O,162839.08,2/6/1997,2-HIGH,Clerk#000000523,0,blithely pending packages boost. furiously even,Customer#000000676,HOUSEHOLD
21123,709,O,283297.94,7/22/1998,3-MEDIUM,Clerk#000000059,0,"enticing, ironic accounts boost blithely. special pinto beans boo",Customer#000000709,BUILDING
21124,341,O,215919,8/27/1996,4-NOT SPECIFIED,Clerk#000000184,0,furiously unusual platelets a,Customer#000000341,FURNITURE
21125,307,F,60479.92,2/27/1995,4-NOT SPECIFIED,Clerk#000000157,0,carefully ironic instructions above the regular pinto beans cajole finally am,Customer#000000307,FURNITURE
21126,1136,F,97574.91,3/19/1992,1-URGENT,Clerk#000000416,0,"unusual, regular ideas detect carefully alongside of the slyly ironic depos",Customer#000001136,FURNITURE
21127,184,F,171594.14,9/26/1993,1-URGENT,Clerk#000000376,0,"silent, special accounts along the packages cajole regular frays. special inst",Customer#000000184,AUTOMOBILE
21152,184,O,266740.16,10/23/1997,5-LOW,Clerk#000000982,0,final instructions promise slyly. slowly even foxes bo,Customer#000000184,AUTOMOBILE
21153,1183,F,262320.29,1/17/1994,2-HIGH,Clerk#000000377,0,"special, bold packages",Customer#000001183,BUILDING
21154,1105,F,27180,8/18/1993,5-LOW,Clerk#000000640,0,"final, express instr",Customer#000001105,FURNITURE
21155,892,F,152120.42,2/6/1995,2-HIGH,Clerk#000000640,0,carefully final accounts nag carefully. blithely ironi,Customer#000000892,FURNITURE
21156,1217,O,281270.34,4/14/1997,5-LOW,Clerk#000000211,0,"even, express foxes impress slyly among the",Customer#000001217,FURNITURE
21157,1489,O,177891.04,2/7/1996,4-NOT SPECIFIED,Clerk#000000997,0,slyly quiet accounts are carefully beside the slyly,Customer#000001489,MACHINERY
21158,490,O,33275.18,10/24/1996,2-HIGH,Clerk#000000495,0,slyly final accounts are quickly. carefu,Customer#000000490,FURNITURE
21159,86,O,201364.66,6/8/1995,5-LOW,Clerk#000000360,0,blithely pending packages cajole carefully. carefull,Customer#000000086,HOUSEHOLD
21184,388,O,72878.37,7/11/1998,3-MEDIUM,Clerk#000000255,0,regular packages need to nag furiously in place of,Customer#000000388,HOUSEHOLD
21185,443,O,73331.17,1/10/1997,3-MEDIUM,Clerk#000000831,0,blithely daring pinto beans cajo,Customer#000000443,FURNITURE
21186,961,F,106969.87,5/11/1992,2-HIGH,Clerk#000000488,0,furiously even foxes cajole blithely carefully pending deposits. a,Customer#000000961,MACHINERY
21187,136,O,168182.12,9/25/1996,3-MEDIUM,Clerk#000000531,0,carefully bold platelets boost furiously alongside,Customer#000000136,FURNITURE
21188,349,O,95400.65,9/22/1995,1-URGENT,Clerk#000000073,0,"accounts mold quickly according to the brave, final asymptotes. blithel",Customer#000000349,BUILDING
21189,719,O,212161.54,2/15/1996,3-MEDIUM,Clerk#000000874,0,furiously express courts haggle carefully across the instr,Customer#000000719,HOUSEHOLD
21190,775,F,138124.56,5/29/1994,3-MEDIUM,Clerk#000000487,0,blithely final theodolites after the fluffily even patterns,Customer#000000775,BUILDING
21191,979,F,172655.34,11/15/1992,2-HIGH,Clerk#000000222,0,"final, even asymptotes ought to wake pinto beans. final, final e",Customer#000000979,MACHINERY
21216,1042,O,59898.02,7/22/1998,3-MEDIUM,Clerk#000000439,0,furiously silent courts m,Customer#000001042,FURNITURE
21217,1208,F,10713.02,9/10/1994,4-NOT SPECIFIED,Clerk#000000028,0,furiously regular accounts cajole final,Customer#000001208,BUILDING
21218,152,O,28083.35,6/18/1997,1-URGENT,Clerk#000000910,0,"final, unusual packages according to the carefully unusual excuses",Customer#000000152,BUILDING
21219,1346,F,194607.48,1/17/1995,5-LOW,Clerk#000000014,0,furiously regular deposits use c,Customer#000001346,FURNITURE
21220,301,F,319691.33,12/23/1992,4-NOT SPECIFIED,Clerk#000000100,0,pinto beans along the fluffily final packages ha,Customer#000000301,HOUSEHOLD
21221,808,F,51922.48,7/26/1994,2-HIGH,Clerk#000000806,0,dependencies along the carefully unusual attainments haggle,Customer#000000808,BUILDING
21222,814,F,254447.25,2/4/1994,4-NOT SPECIFIED,Clerk#000000112,0,blithely unusual deposits wake. furiously regular theodolites accor,Customer#000000814,BUILDING
21223,410,F,232117.32,3/16/1992,4-NOT SPECIFIED,Clerk#000000323,0,quickly pending deposits affix fluffily about the,Customer#000000410,BUILDING
21248,775,O,252440.15,8/11/1996,5-LOW,Clerk#000000605,0,furiously express requests wake express,Customer#000000775,BUILDING
21249,785,F,166125.39,9/20/1993,5-LOW,Clerk#000000662,0,pending dependencies integrate quickly above the fluffily regular pac,Customer#000000785,BUILDING
21250,1489,O,89894.47,7/8/1997,3-MEDIUM,Clerk#000000932,0,"quickly pending requests above the silent,",Customer#000001489,MACHINERY
21251,1024,O,134573.73,11/24/1996,3-MEDIUM,Clerk#000000161,0,fluffily final theodolites are carefully unusual hockey players. pendin,Customer#000001024,FURNITURE
21252,1151,O,280184.51,6/2/1996,4-NOT SPECIFIED,Clerk#000000575,0,furiously regular instructions about the carefully re,Customer#000001151,BUILDING
21253,1466,F,167165.4,4/18/1992,3-MEDIUM,Clerk#000000460,0,"slyly regular requests are carefully. silent, even deposits are qui",Customer#000001466,FURNITURE
21254,229,F,71805.39,8/20/1993,5-LOW,Clerk#000000770,0,slyly express theodolites na,Customer#000000229,BUILDING
21255,454,F,236940.6,8/29/1994,2-HIGH,Clerk#000000621,0,final deposits are blithely across the blithely regular packa,Customer#000000454,AUTOMOBILE
21280,991,O,264223.21,12/7/1997,4-NOT SPECIFIED,Clerk#000000430,0,slyly final requests sleep furious,Customer#000000991,AUTOMOBILE
21281,1115,F,118840.99,4/5/1995,2-HIGH,Clerk#000000503,0,furiously even accounts engage! fluffily final deposits integrate ruthle,Customer#000001115,BUILDING
21282,1141,O,203407.33,5/2/1998,2-HIGH,Clerk#000000973,0,"pinto beans sleep slyly even, final theodolites. carefully regular",Customer#000001141,MACHINERY
21283,908,O,270727.93,12/30/1996,5-LOW,Clerk#000000515,0,"ironic, special instructio",Customer#000000908,AUTOMOBILE
21284,1121,F,81535,9/15/1992,1-URGENT,Clerk#000000660,0,furiously ironic requests wake bl,Customer#000001121,MACHINERY
21285,1348,F,131049.74,7/4/1993,3-MEDIUM,Clerk#000000956,0,carefully even foxes a,Customer#000001348,MACHINERY
21286,607,F,174550.69,5/17/1994,1-URGENT,Clerk#000000906,0,blithely special deposits eat about the bold epitaphs. carefull,Customer#000000607,FURNITURE
21287,920,O,243403.57,1/28/1997,3-MEDIUM,Clerk#000000845,0,ironically pending,Customer#000000920,HOUSEHOLD
21312,283,O,57584.48,2/1/1996,1-URGENT,Clerk#000000951,0,pending dolphins against the express excuses should have to print around the,Customer#000000283,AUTOMOBILE
21313,460,F,70712.15,7/28/1992,4-NOT SPECIFIED,Clerk#000000198,0,slyly even instructions detect slyly. fluffily pending a,Customer#000000460,FURNITURE
21314,730,F,210750.61,11/3/1994,5-LOW,Clerk#000000232,0,fluffily even foxes use carefully fluffily ir,Customer#000000730,AUTOMOBILE
21315,184,O,119881.53,10/9/1996,2-HIGH,Clerk#000000534,0,foxes are slyly among the carefully pendin,Customer#000000184,AUTOMOBILE
21316,943,O,197610.99,10/21/1997,3-MEDIUM,Clerk#000000973,0,ironic accounts boost. accounts cajole. ca,Customer#000000943,FURNITURE
21317,838,P,269454.16,4/10/1995,5-LOW,Clerk#000000737,0,furiously ironic requests cajole furiously according to th,Customer#000000838,AUTOMOBILE
21318,980,F,232394.74,7/5/1993,2-HIGH,Clerk#000000376,0,theodolites against,Customer#000000980,AUTOMOBILE
21319,815,F,174915.82,4/30/1993,3-MEDIUM,Clerk#000000738,0,express accounts nag closely. carefully even deposit,Customer#000000815,HOUSEHOLD
21344,493,F,127573.52,12/10/1992,5-LOW,Clerk#000000442,0,careful requests boost carefully,Customer#000000493,MACHINERY
21345,22,F,121395.99,4/25/1993,4-NOT SPECIFIED,Clerk#000000040,0,"ironic ideas integrate even, pe",Customer#000000022,MACHINERY
21346,932,O,184551.36,6/8/1995,2-HIGH,Clerk#000000899,0,"regular, bold foxes along the furiously ironic ideas boost against th",Customer#000000932,BUILDING
21347,887,O,230432.88,5/22/1998,3-MEDIUM,Clerk#000000439,0,ideas haggle quickly until t,Customer#000000887,MACHINERY
21348,118,F,22887.17,3/11/1995,1-URGENT,Clerk#000000995,0,carefully final ideas are bravely unusual platelet,Customer#000000118,AUTOMOBILE
21349,1138,O,195615.84,7/18/1998,4-NOT SPECIFIED,Clerk#000000189,0,ironic ideas affix: fur,Customer#000001138,BUILDING
21350,389,F,27250.86,2/25/1995,3-MEDIUM,Clerk#000000247,0,"bold, unusual packages above the furiously final deposits",Customer#000000389,AUTOMOBILE
21351,1072,O,29301.66,3/13/1998,4-NOT SPECIFIED,Clerk#000000423,0,blithely unusual instructions wake slyly blith,Customer#000001072,HOUSEHOLD
21376,1277,O,344610,6/9/1996,4-NOT SPECIFIED,Clerk#000000873,0,slyly ironic foxes use blithely across the c,Customer#000001277,BUILDING
21377,1144,F,61894.08,2/23/1993,5-LOW,Clerk#000000725,0,carefully slow accounts detect among the furiously regular pinto beans.,Customer#000001144,BUILDING
21378,179,O,217579.12,8/8/1995,3-MEDIUM,Clerk#000000854,0,furiously regular pinto beans cajole furio,Customer#000000179,MACHINERY
21379,544,F,190363.45,1/15/1995,2-HIGH,Clerk#000000218,0,slyly bold packages above the carefully regular dependencies cajole furiou,Customer#000000544,AUTOMOBILE
21380,775,O,180798.62,3/14/1997,4-NOT SPECIFIED,Clerk#000000445,0,slyly ironic accounts,Customer#000000775,BUILDING
21381,260,F,14478.71,6/15/1994,1-URGENT,Clerk#000000834,0,requests nag across the iro,Customer#000000260,MACHINERY
21382,455,F,379689.83,1/13/1992,1-URGENT,Clerk#000000112,0,"express, regular foxes boost quickly silent accounts. c",Customer#000000455,BUILDING
21383,178,F,160369.71,1/31/1994,5-LOW,Clerk#000000249,0,furiously bold ideas wake slyly. slyly regular packages around the pendi,Customer#000000178,FURNITURE
21408,1042,O,187999.41,8/30/1997,5-LOW,Clerk#000000167,0,furiously regular pinto beans must have to use alongside of the th,Customer#000001042,FURNITURE
21409,1165,F,91876.56,2/25/1994,4-NOT SPECIFIED,Clerk#000000184,0,express accounts nag carefully ironic requests. blithely unusual request,Customer#000001165,MACHINERY
21410,1499,F,54168.29,5/2/1992,1-URGENT,Clerk#000000944,0,"silent, final pains ca",Customer#000001499,AUTOMOBILE
21411,1325,O,148059.94,7/13/1997,1-URGENT,Clerk#000000501,0,stealthily unusual packages unwind after the re,Customer#000001325,HOUSEHOLD
21412,1270,O,117403.73,7/14/1995,4-NOT SPECIFIED,Clerk#000000830,0,"even pinto beans integrate furiously. bold, regular pinto beans ac",Customer#000001270,MACHINERY
21413,677,O,265930.15,6/13/1997,5-LOW,Clerk#000000332,0,furiously unusual warthogs play ironic pinto beans. furiously final pack,Customer#000000677,AUTOMOBILE
21414,1400,P,355597.02,5/5/1995,1-URGENT,Clerk#000000832,0,furiously final packages,Customer#000001400,BUILDING
21415,788,F,68837.16,4/27/1992,1-URGENT,Clerk#000000249,0,regular theodolites maintain carefully above the car,Customer#000000788,FURNITURE
21440,1378,F,176705.79,11/14/1992,1-URGENT,Clerk#000000815,0,"blithe, special dolphins bre",Customer#000001378,HOUSEHOLD
21441,1156,O,91274.56,5/19/1997,1-URGENT,Clerk#000000990,0,ironic packages cajole fluffily. final asymptotes snooze. carefully ironic re,Customer#000001156,HOUSEHOLD
21442,1225,F,182494.7,12/26/1994,5-LOW,Clerk#000000584,0,"furiously even theodolites affix special instructions. regular,",Customer#000001225,MACHINERY
21443,137,O,71886.46,1/5/1996,2-HIGH,Clerk#000000900,0,quickly pending excuses detect slyly above the fur,Customer#000000137,HOUSEHOLD
21444,199,P,225515.11,4/16/1995,3-MEDIUM,Clerk#000000451,0,special excuses are always according to the quickly f,Customer#000000199,FURNITURE
21445,883,F,262159.09,11/18/1994,5-LOW,Clerk#000000054,0,final deposits haggle fluffily. slyly reg,Customer#000000883,FURNITURE
21446,523,O,81852.09,5/27/1998,2-HIGH,Clerk#000000602,0,even foxes promise near th,Customer#000000523,BUILDING
21447,1430,F,291570.11,6/4/1993,4-NOT SPECIFIED,Clerk#000000357,0,platelets according to the final packages impress blithely alongsi,Customer#000001430,BUILDING
21472,908,O,59118.9,1/8/1996,2-HIGH,Clerk#000000900,0,fluffily final accounts above th,Customer#000000908,AUTOMOBILE
21473,559,P,78305.38,4/2/1995,2-HIGH,Clerk#000000328,0,even pinto beans cajole quickly above the blithely regular requests.,Customer#000000559,AUTOMOBILE
21474,757,F,236143.22,4/5/1993,1-URGENT,Clerk#000000977,0,slyly silent orbits sleep quickly quietly ir,Customer#000000757,AUTOMOBILE
21475,1138,F,189133.45,2/21/1995,1-URGENT,Clerk#000000722,0,asymptotes sleep waters. quickly s,Customer#000001138,BUILDING
21476,1264,O,184907.1,5/19/1995,3-MEDIUM,Clerk#000000240,0,blithely special theodolites are blit,Customer#000001264,MACHINERY
21477,337,P,216395.26,5/22/1995,5-LOW,Clerk#000000650,0,furiously busy accoun,Customer#000000337,MACHINERY
21478,1061,F,303657.83,3/3/1992,5-LOW,Clerk#000000452,0,blithely pending excuses after the fluffily even accounts run s,Customer#000001061,BUILDING
21479,385,F,98748.2,8/29/1994,3-MEDIUM,Clerk#000000282,0,dolphins nag. boldly final sentiments are quick,Customer#000000385,AUTOMOBILE
21504,83,O,184886.29,11/6/1997,3-MEDIUM,Clerk#000000802,0,carefully final platelets print fluffily according to the blithely regula,Customer#000000083,BUILDING
21505,80,F,269780.48,12/4/1992,5-LOW,Clerk#000000067,0,quickly bold dependencies are along the sly,Customer#000000080,FURNITURE
21506,976,F,183580.67,6/8/1994,3-MEDIUM,Clerk#000000425,0,fluffily silent theodolites haggle according to the spe,Customer#000000976,BUILDING
21507,1054,O,128337.81,6/15/1997,3-MEDIUM,Clerk#000000837,0,instructions wake f,Customer#000001054,HOUSEHOLD
21508,1309,O,81861.37,4/26/1998,5-LOW,Clerk#000000280,0,requests sleep ruthles,Customer#000001309,AUTOMOBILE
21509,1198,F,177291.23,7/4/1992,2-HIGH,Clerk#000000841,0,quickly final instructions cajole quickl,Customer#000001198,AUTOMOBILE
21510,385,F,82848.1,5/9/1992,2-HIGH,Clerk#000000138,0,furiously quiet platelets across the blithely bold,Customer#000000385,AUTOMOBILE
21511,149,O,273551.78,4/17/1996,4-NOT SPECIFIED,Clerk#000000217,0,furiously bold requests haggle slyly. fluffily thin accounts cajole slyly whi,Customer#000000149,AUTOMOBILE
21536,868,O,158554.35,4/12/1997,5-LOW,Clerk#000000395,0,furiously ironic accounts are furiously foxes,Customer#000000868,FURNITURE
21537,857,F,59461.71,2/6/1992,1-URGENT,Clerk#000000924,0,furiously ironic pinto bean,Customer#000000857,AUTOMOBILE
21538,1243,F,222231.74,7/28/1994,3-MEDIUM,Clerk#000000118,0,"express, regular packages could have to use blithely furiously iron",Customer#000001243,MACHINERY
21539,604,F,120744.66,7/10/1993,3-MEDIUM,Clerk#000000008,0,silent deposits lose ironic somas. ironic excuses,Customer#000000604,HOUSEHOLD
21540,412,F,104776.53,5/13/1992,5-LOW,Clerk#000000894,0,blithely ironic accounts haggle express dependen,Customer#000000412,BUILDING
21541,220,F,58559.74,10/9/1994,4-NOT SPECIFIED,Clerk#000000559,0,ironic packages except the blithely d,Customer#000000220,BUILDING
21542,794,P,202414.03,5/22/1995,2-HIGH,Clerk#000000563,0,enticing deposits haggle slyly furiously regular epitaphs. slyly ironic pl,Customer#000000794,FURNITURE
21543,262,F,167911.7,3/8/1992,2-HIGH,Clerk#000000247,0,carefully bold sheaves at the quickly bold in,Customer#000000262,AUTOMOBILE
21568,566,O,49099.81,7/20/1995,2-HIGH,Clerk#000000169,0,"pending, ironic packages unwind slyly unusual,",Customer#000000566,FURNITURE
21569,838,O,19741.87,9/12/1996,3-MEDIUM,Clerk#000000227,0,blithely regular pinto beans into the final packages wake car,Customer#000000838,AUTOMOBILE
21570,1093,O,60287.71,2/3/1996,2-HIGH,Clerk#000000965,0,blithely pending requests cajole slyly along the fluff,Customer#000001093,HOUSEHOLD
21571,172,O,151541.7,8/20/1995,5-LOW,Clerk#000000825,0,thinly final foxes are. silent theodolites about the regular dep,Customer#000000172,MACHINERY
21572,1405,F,204460.19,2/14/1994,1-URGENT,Clerk#000000156,0,fluffily regular deposits cajole slyly. furiously regula,Customer#000001405,BUILDING
21573,316,F,205131.07,4/26/1992,1-URGENT,Clerk#000000521,0,slyly unusual packages are,Customer#000000316,MACHINERY
21574,754,F,149143.07,1/16/1993,1-URGENT,Clerk#000000858,0,carefully express requests wake packages. fu,Customer#000000754,BUILDING
21575,1220,O,73291.67,2/2/1997,2-HIGH,Clerk#000000658,0,blithely final pinto beans are carefully. accounts detect quickly into,Customer#000001220,FURNITURE
21600,1474,F,167190.51,4/5/1993,5-LOW,Clerk#000000325,0,blithely special instructions nag blithely al,Customer#000001474,HOUSEHOLD
21601,475,O,118496.63,4/7/1995,5-LOW,Clerk#000000425,0,slyly express ideas haggle fluffily even packages. packages along the,Customer#000000475,BUILDING
21602,1157,F,134298,7/2/1994,1-URGENT,Clerk#000000279,0,furiously furious dependencies wake blithely requests. slyly pending reque,Customer#000001157,HOUSEHOLD
21603,607,O,86145.76,4/21/1997,2-HIGH,Clerk#000000200,0,"regular, regular instructions are fluffily across the blith",Customer#000000607,FURNITURE
21604,1177,F,187273.67,4/2/1992,3-MEDIUM,Clerk#000000965,0,blithely furious escapades,Customer#000001177,FURNITURE
21605,712,F,181222.86,4/9/1992,2-HIGH,Clerk#000000516,0,foxes play stealthily regular p,Customer#000000712,BUILDING
21606,685,F,153653.46,1/23/1995,4-NOT SPECIFIED,Clerk#000000270,0,slyly bold requests wake furiously unusual frets. requests wake. ironic,Customer#000000685,MACHINERY
21607,1084,F,78581.12,3/16/1992,4-NOT SPECIFIED,Clerk#000000532,0,pending dependencies cajo,Customer#000001084,FURNITURE
21632,1381,F,17638.64,1/22/1993,2-HIGH,Clerk#000000129,0,carefully pending pinto beans use ca,Customer#000001381,BUILDING
21633,68,F,327255.85,3/28/1994,3-MEDIUM,Clerk#000000756,0,furiously silent accounts use furiously iron,Customer#000000068,HOUSEHOLD
21634,586,F,159887.62,10/29/1992,4-NOT SPECIFIED,Clerk#000000284,0,furiously special accounts boost fluffily,Customer#000000586,AUTOMOBILE
21635,704,F,67011.33,12/3/1994,5-LOW,Clerk#000000039,0,packages are slyly about the slyly pending dino,Customer#000000704,AUTOMOBILE
21636,868,F,256391.21,8/11/1994,5-LOW,Clerk#000000240,0,blithely ironic platelets above the doggedly special theodolites i,Customer#000000868,FURNITURE
21637,955,O,50355.93,2/14/1998,5-LOW,Clerk#000000839,0,slyly final platele,Customer#000000955,AUTOMOBILE
21638,1244,F,64462.5,4/17/1992,2-HIGH,Clerk#000000708,0,blithely ironic theodolites aga,Customer#000001244,BUILDING
21639,1282,F,171257.52,2/3/1995,4-NOT SPECIFIED,Clerk#000000030,0,bold instructions ca,Customer#000001282,FURNITURE
21664,134,F,179106.99,11/13/1994,2-HIGH,Clerk#000000086,0,"silent, ironic pinto beans use carefully enticing pinto beans. accoun",Customer#000000134,BUILDING
21665,1234,F,107228.03,10/16/1992,2-HIGH,Clerk#000000782,0,"platelets integrate express, fin",Customer#000001234,FURNITURE
21666,935,F,120279.74,12/18/1993,3-MEDIUM,Clerk#000000396,0,bold foxes wake carefully furiously pending accounts. special packages boost,Customer#000000935,MACHINERY
21667,161,O,247764.04,5/21/1996,5-LOW,Clerk#000000728,0,carefully regular accounts cajole pearls. blithely even platelets,Customer#000000161,MACHINERY
21668,104,O,176574.78,11/6/1996,2-HIGH,Clerk#000000979,0,quickly final accounts wake quickly regular,Customer#000000104,FURNITURE
21669,1135,O,118083.02,7/25/1995,3-MEDIUM,Clerk#000000569,0,furiously quiet instructions cajole caref,Customer#000001135,FURNITURE
21670,841,F,204477.26,1/12/1995,2-HIGH,Clerk#000000729,0,furiously unusual i,Customer#000000841,FURNITURE
21671,307,F,62875.91,6/16/1993,2-HIGH,Clerk#000000843,0,regular theodolites cajole carefully against the,Customer#000000307,FURNITURE
21696,442,F,154745.72,10/22/1993,3-MEDIUM,Clerk#000000191,0,furiously daring excuses b,Customer#000000442,FURNITURE
21697,958,O,229968.06,3/5/1996,5-LOW,Clerk#000000299,0,"regular, ironic fox",Customer#000000958,FURNITURE
21698,1111,O,241341.07,3/4/1998,2-HIGH,Clerk#000000655,0,blithely final foxes use. blithely pending courts boost regular de,Customer#000001111,MACHINERY
21699,248,O,168254.87,12/5/1995,4-NOT SPECIFIED,Clerk#000000422,0,asymptotes wake furiously. fluffily even theodolites cajole carefully. sile,Customer#000000248,FURNITURE
21700,103,O,231603.82,7/21/1997,5-LOW,Clerk#000000526,0,platelets boost. fluffily iro,Customer#000000103,BUILDING
21701,826,O,75548.57,1/21/1996,4-NOT SPECIFIED,Clerk#000000419,0,furiously ironic requests cajole,Customer#000000826,BUILDING
21702,1414,F,16971.6,12/18/1993,4-NOT SPECIFIED,Clerk#000000078,0,"even, regular accounts breach fur",Customer#000001414,BUILDING
21703,785,F,121593.54,3/3/1994,4-NOT SPECIFIED,Clerk#000000352,0,carefully unusual accounts sleep carefully? blithely regular deposits wake bl,Customer#000000785,BUILDING
21728,745,O,131727.73,12/26/1996,3-MEDIUM,Clerk#000000217,0,carefully final excuses sleep. furiously final accounts sleep alongside of the,Customer#000000745,FURNITURE
21729,10,F,309286.33,12/7/1992,5-LOW,Clerk#000000577,0,slyly final dolphins across the fluffily unusual dependencie,Customer#000000010,HOUSEHOLD
21730,1343,O,147837.54,3/5/1996,2-HIGH,Clerk#000000336,0,blithely pending dependencies are even deposits. carefully,Customer#000001343,AUTOMOBILE
21731,1415,O,166989.49,11/27/1995,5-LOW,Clerk#000000363,0,quickly ironic courts run,Customer#000001415,BUILDING
21732,829,O,222231.87,1/11/1996,2-HIGH,Clerk#000000203,0,"bold, ironic gifts are furious",Customer#000000829,MACHINERY
21733,1270,O,350092.65,11/17/1996,1-URGENT,Clerk#000000273,0,carefully bold packages,Customer#000001270,MACHINERY
21734,1442,O,85510.79,2/21/1996,4-NOT SPECIFIED,Clerk#000000295,0,express accounts are quickly even accounts. quickly ironic p,Customer#000001442,MACHINERY
